subaddress,amount,title
87GU4bSGVRcXAjhWPYd7e32msPAunm7k49FDbN9fe35hGEBCAYX8aqHg7HBmvjoJwqZ94Kbty8pMAevx3Lu6tVxA37stsdu,27.713403156454,Integrate p2pool mining into Monero GUI Wallet
891zZHEhA8cQvZ27oCRTf5cwFQkjjPMJMVjZ7aEHYFiMTx3Gr61hMEJMjzkjJhaqfcJEqmEC4YSmjgaF7t9rytZkVfoSXWo,23.300000092794,Implement view tags to decrease wallet sync times in Monero
82t6WdEaHV2VMroBDd1jgjHmRqkjanzFQLbmTvg3V1z7EMvvGxNn4UaGtcP8ozvFjpBmoxTJBPoYeLbzZPfDCF1wGUSUswF,11.500007208337,ETH<->XMR atomic swap
89UNCiB9c1j9KmnKiQfaxp8Pzfs7tgRKPFgGXFpdkLVoEZjMMnaxUu2gnnENv585UBTmear2UDpTDcWGMdkmWnCd1kxQ39F,3.84205290861,"Android GUI Miner App for running XMRig, P2Pool, etc."
8Aexb6HyxmBARMmF6EoNagGiFmZdTBftdcJrDN7naUQtNXgAfpPDKpm2hYimf6WhQM8CNxscnaVcfTt3miKLLaqQQFvpbP3,2.3,BCH<>XMR Atomic Swaps
83KdPam57nwCtemedYGNSi6FhPDHhpia6EPZQYMpg6sDDV6mEB4Uf1dHvPmhWEGPioT975jqnGoL2LuUDHvjmVRe9qEQKhm,1.25470824,BCH<>XMR Atomic Swaps
84ttWbXAttg8N1U8aonJQeFGs4anwzH7WPwbkD7LSjtNEEjS1x71i2NWp5ZPGZvXL264havwZcXGKj5jWCeoKXTVSnirCH7,1.2042069,Bounties site accessible via I2P
87EQs9WfuYzcQfqnTzqVXzMGLfsQ6FnSjhBnAzj4MDwM1LQCVbvd63Rd6NV8LPTGAnP1WAJq16iy9RjTYUMC3BvaTbB342Q,1.0050649549919999,Monero Guides - Mini Series
89PmQeJ5egbFtwWWe5Pmb8Wgi9vTnXYyAb7Jrz1J23f9M6FW8TT9gkzH1Km7Rmi32YfKvx9FSidsrJPyZaDVPsuK6Bt72Ks,0.84353021,i2p baked into the monero GUI
87agKiZWoV9L6b98pjXYzEERwAn1htRivBcdU6Qf2aTmXmDP5FHLufQUdm9ZTqRzAyS3F5DpqeKrAjTEoBcTUNTdSXHBQUV,0.807660845458,Monero Desktop Drag n' Drop Widget Dashboard
8BEjRUHSVTZYVjF2eSxk9JaNnFwzFLTRQbMcar2UvZug5xjemckTx9hiVEMex2VDi9D5sVVdVPJGBTdAKdB2vtGPQmswAG7,0.4842069,Bounties site accessible via tor
87J3FUbwxrW25hGZk1bjQgLdZeNSSboVq5Y7VWRkTtmqUChNuLEs8bPJZ6gaj3Ee5KjLXKBdJmkJSAVqBQL72f995eTE9rT,0.440004654401,Add Monero <-> BTC Atomic Swaps to Bisq
85ukNyR6a7xfWj5F5A75SwgZwkF8vb8WJKiytkH1gaDxBM9nyvVeasrdCqfwDPfUm3RBL4bo9mQpTMuXaPbyiuvxALnwPyv,0.295849781144,Setup Monero Dev List website
8Aj5PDpkWPyQNmoLcYBfZmPFUpU5uaBiyWkHQkUExBtRdpm4T9zrNyQK9T7k2SAPWzj8TxwWksi2XKXoJ8uMJdumSvJJyPd,0.29431006292399997,Gift Wallet on paper
84B81SDhLd19XzcK8FHTF3echXy7ystxcV8FuXyDbVoFTnAgvZHUnBBVgDLujnnT5CS3UuwpegY3iXd3guFjqNCB8d2xoR1,0.29229309,"Monero Bounties site, parse donation address as link"
84k52UHXLbA8LNJKQhjuHNWdA5dgnHsigL3K4ERBMw6rZppXFw6axgrfe9ycqkDr5UeWSFvDaH7SvMsPupWFEwuo5d5jqYG,0.2474807,Implement background wallet sync via view keys on Monerujo
89EkLhUP5pJYuCvD2SZFEtisSjjkaCm2SdM9C25APEwq4rxEtbn41L4bvwJN7Xn21d5KtscUYcLMHChAjZVSop2q4SESxXr,0.24653211558399998,Desktop service/GUI for running a Monero node on boot/in the background
87JhAybgFbLMEtnhuHvwqfWc9QHJaUqGSAxaTiqaBv2JGPVatUbbpULXyxBqpgZPhG1sk1cbWJW9XVGeprVmNCrNBhnbxEE,0.24024988271699999,Implement background wallet sync via view keys in Cake Wallet for Android
85mnUV7dNcMV58MXz267Y7LqLVbRfT4agbVqeMK3Ekpe8nTC3u6qgfX4CtACwYYm96BDk6y299wfuhEMtkNmYW2L5u6yzJt,0.24,File server that accepts Monero payments for downloads
